nome,cpf,idade,data,endereco,bairro,estado
Sr. Vitor Gabriel Silva,640 .***.***- 01,,,"Trevo Emanuel Silva, 482",Vila Tirol,AP
Calebe Santos,651 .***.***- 46,,,"Recanto Moraes, 7",Ernesto Nascimento,PB
Evelyn Pires,107 .***.***- 90,,,"Travessa de Caldeira, 237",Santa Terezinha,TO
Maria Julia Castro,164 .***.***- 43,,,"Residencial de Pereira, 20",Jatobá,AL
Arthur da Rosa,085 .***.***- 30,,,"Parque Almeida, 66",Vila Suzana Segunda Seção,SE
Juan Pereira,520 .***.***- 21,,,"Rodovia de Pereira, 51",Estrela,BA
Dra. Ana Laura Ribeiro,210 .***.***- 20,,,Esplanada Lavínia Ramos,São Francisco,SP
Maria Clara Araújo,960 .***.***- 80,,,"Praça Cavalcanti, 65",Conjunto Celso Machado,RO
Vitória Oliveira,302 .***.***- 83,,,"Esplanada Monteiro, 88",Conjunto Paulo Vi,GO
Benjamin Oliveira,451 .***.***- 84,,,"Ladeira Monteiro, 57",Vila Primeiro De Maio,CE
Pietro Barros,843 .***.***- 50,,,"Recanto Luiz Miguel Jesus, 35",Vila Aeroporto Jaraguá,PB
Samuel Cavalcanti,520 .***.***- 01,,,"Ladeira de Porto, 38",Nova America,TO
Ian da Costa,384 .***.***- 78,,,"Via de Jesus, 57",Vila Da Amizade,PB
Dr. Emanuel Costa,736 .***.***- 19,,,"Lago Castro, 94",Mariano De Abreu,RJ
Larissa da Cruz,128 .***.***- 60,,,"Setor Isadora da Rosa, 583",Chácara Leonina,RR
Diogo Carvalho,078 .***.***- 97,,,"Viaduto Pedro Lucas Cavalcanti, 49",Tiradentes,RS
Sr. Anthony Almeida,305 .***.***- 60,,,"Rua Vitor Hugo Pinto, 21",Anchieta,RJ
Clara Martins,397 .***.***- 86,,,"Rodovia Aragão, 245",Conjunto Lagoa,MG
Dr. Luiz Felipe Cardoso,374 .***.***- 20,,,"Alameda de Lima, 65",Boa Esperança,PE
Sr. Calebe Lopes,135 .***.***- 77,,,"Trecho Lucas Sales, 24",Dom Bosco,RO
Miguel Monteiro,097 .***.***- 41,,,"Passarela Igor Novaes, 89",Pompéia,SE
Srta. Catarina da Mata,468 .***.***- 57,,,"Sítio Luna Carvalho, 98",Novo Santa Cecilia,AM
João Gabriel Araújo,625 .***.***- 25,,,"Esplanada de Castro, 4",Vila Nova Cachoeirinha 1ª Seção,MT
Sr. Nicolas Azevedo,036 .***.***- 33,,,"Estrada de Aragão, 1",Vila Barragem Santa Lúcia,AC
Kamilly Caldeira,508 .***.***- 47,,,Via Gabriela Nascimento,Madre Gertrudes,AP
Renan Araújo,186 .***.***- 57,,,"Travessa Vinicius da Mata, 52",Alta Tensão 1ª Seção,CE
Vicente Nascimento,054 .***.***- 32,,,Largo Vieira,Milionario,DF
Isaac Rocha,873 .***.***- 69,,,"Área Lucas Gabriel Silveira, 51",Anchieta,PE
Julia das Neves,819 .***.***- 05,,,"Jardim Isabelly Gomes, 23",Nossa Senhora De Fátima,ES
Breno Rodrigues,196 .***.***- 34,,,Distrito de Silveira,Dona Clara,AM
Isabel Nogueira,968 .***.***- 65,,,Travessa Ana Júlia da Rocha,Miramar,TO
Anthony Araújo,208 .***.***- 26,,,"Avenida Milena Pires, 360",Vila Rica,AP
Sra. Marina da Cunha,067 .***.***- 95,,,"Rodovia Marcelo Souza, 25",Estrela,RN
Helena Cardoso,853 .***.***- 39,,,"Pátio Alexandre Teixeira, 243",Indaiá,RR
Luigi Nunes,593 .***.***- 24,,,"Via Clara da Rosa, 928",Castelo,RR
Srta. Raquel da Costa,278 .***.***- 09,,,"Estação Ribeiro, 46",Venda Nova,PB
Sra. Ana Vitória Oliveira,120 .***.***- 17,,,"Sítio de Cavalcanti, 97",Juliana,PA
Luiza Campos,974 .***.***- 03,,,"Condomínio de Rodrigues, 52",Conjunto Providencia,SC
Lucca da Paz,526 .***.***- 95,,,"Rodovia Vieira, 63",Conjunto Taquaril,RN
Nathan da Rosa,907 .***.***- 25,,,"Recanto de da Conceição, 1",Paraíso,AM
Lívia Silveira,804 .***.***- 85,,,"Setor de Azevedo, 375",Castanheira,AL
Isabel Cavalcanti,492 .***.***- 04,,,"Ladeira Pietra Cunha, 13",Vista Alegre,PA
Rafael Nunes,285 .***.***- 76,,,"Vereda Davi Lucca Barbosa, 35",Estrela Do Oriente,GO
Elisa Fogaça,572 .***.***- 92,,,"Rodovia Ana Júlia Araújo, 68",Vila Real 2ª Seção,PE
Agatha Ramos,948 .***.***- 85,,,"Distrito de Barros, 41",Suzana,RJ
Kamilly Rocha,946 .***.***- 48,,,"Feira Campos, 17",Cruzeiro,DF
Antônio das Neves,435 .***.***- 82,,,"Avenida Vitor Hugo Cardoso, 34",Vila São Rafael,SC
Luiz Gustavo Alves,198 .***.***- 10,,,"Rodovia de Souza, 63",Vila Nova Dos Milionarios,MS
Emanuella Fernandes,097 .***.***- 96,,,"Residencial Ian da Paz, 6",Padre Eustáquio,PR
Srta. Ana Beatriz Farias,431 .***.***- 39,,,"Ladeira de da Paz, 98",Jardim Dos Comerciarios,PE
Yago Monteiro,865 .***.***- 00,,,"Ladeira Pereira, 21",Buraco Quente,BA
Yasmin Gonçalves,017 .***.***- 14,,,"Área Barros, 46",Salgado Filho,BA
Bruna Nascimento,132 .***.***- 52,,,"Vereda Luiz Felipe Costa, 70",Minaslandia,DF
Davi Luiz Nogueira,873 .***.***- 50,,,"Vila Sales, 97",Paquetá,ES
Ian Monteiro,324 .***.***- 91,,,"Favela Alana Ribeiro, 318",Casa Branca,MS
Srta. Helena Silva,905 .***.***- 01,,,"Parque Freitas, 82",Ouro Minas,AC
Bárbara Novaes,038 .***.***- 15,,,"Trecho Bryan da Cunha, 1",Betânia,PA
Sr. Pedro Lucas Costela,534 .***.***- 00,,,Esplanada Moreira,Pindura Saia,ES
Rafael Jesus,673 .***.***- 80,,,"Campo de Barros, 16",Silveira,DF
Sra. Alícia Caldeira,051 .***.***- 70,,,"Distrito Esther Campos, 264",Apolonia,PA
Danilo Martins,760 .***.***- 39,,,"Largo Pires, 78",Bacurau,AP
Sr. Gabriel da Rosa,530 .***.***- 53,,,Campo Isabelly Freitas,Novo Santa Cecilia,CE
Augusto Teixeira,412 .***.***- 16,,,Favela Maria Novaes,Savassi,RR
Ana Julia da Rosa,630 .***.***- 65,,,"Trevo Moraes, 5",Cônego Pinheiro 1ª Seção,SP
Lucca Barbosa,836 .***.***- 77,,,"Rua Mendes, 337",Penha,SP
Amanda da Costa,268 .***.***- 29,,,"Lagoa Cardoso, 1",Ambrosina,SP
Dr. Francisco Cardoso,430 .***.***- 50,,,"Lago Maitê Campos, 31",Braúnas,TO
Lorena Farias,268 .***.***- 82,,,"Residencial Barbosa, 44",Zilah Sposito,AP
Anthony da Costa,935 .***.***- 97,,,"Recanto de Rocha, 68",Conjunto Califórnia I,SE
Cauã Rodrigues,107 .***.***- 87,,,"Vale Gustavo Henrique Alves, 50",Vila Madre Gertrudes 4ª Seção,AL
Anthony Barbosa,631 .***.***- 00,,,Vila Farias,Vila Satélite,RN
Ana Julia Almeida,179 .***.***- 09,,,"Fazenda de Porto, 3",Senhor Dos Passos,MA
Milena Barros,314 .***.***- 51,,,"Setor Miguel Pires, 3",Ermelinda,PA
Murilo Gomes,759 .***.***- 93,,,Morro de Castro,Vila Pilar,SP
Daniel Barbosa,812 .***.***- 98,,,"Praça Ferreira, 764",Vila Sumaré,CE
Dr. Samuel Cardoso,039 .***.***- 96,,,"Vereda Cauê Novaes, 14",Conjunto Califórnia Ii,BA
Ana Laura Sales,863 .***.***- 22,,,"Fazenda de Pinto, 42",São Jorge 1ª Seção,PR
Mariana Cunha,492 .***.***- 25,,,"Loteamento Luiz Felipe Teixeira, 87",Novo Ouro Preto,AM
Sr. João Guilherme Cavalcanti,347 .***.***- 70,,,"Quadra Emanuella da Conceição, 29",Cruzeiro,MS
Kamilly Rocha,365 .***.***- 10,,,"Rodovia Danilo Costa, 17",Alta Tensão 2ª Seção,MS
Gabriel Nunes,940 .***.***- 04,,,Vila Stephany Lima,Vista Do Sol,PA
Rafael Correia,579 .***.***- 05,,,"Morro de Cardoso, 47",Marçola,SE
Ana Lívia Barbosa,925 .***.***- 60,,,Lagoa Sarah Azevedo,Monsenhor Messias,CE
Maitê Teixeira,694 .***.***- 39,,,"Loteamento Oliveira, 29",Camponesa 1ª Seção,PE
Carlos Eduardo Santos,937 .***.***- 37,,,"Largo Nascimento, 97",Delta,PR
Enzo Gabriel Araújo,349 .***.***- 96,,,endereco invalido,Desconhecido,Desconhecido
Breno Moreira,184 .***.***- 49,,,"Aeroporto de das Neves, 7",Vila Sumaré,AL
Julia Lopes,106 .***.***- 31,,,"Conjunto de Cardoso, 5",Vila Minaslandia,PR
André Lima,645 .***.***- 70,,,Viaduto Cardoso,Belmonte,RO
João Gabriel Barbosa,190 .***.***- 67,,,Fazenda de Barros,Boa Esperança,DF
,438 .***.***- 56,,,Colônia Maria Vitória Moura,Aarão Reis,GO
João Felipe Oliveira,830 .***.***- 00,,,Avenida de Cardoso,Madre Gertrudes,RN
Samuel Vieira,218 .***.***- 53,,,"Lagoa Leandro Caldeira, 1",Chácara Leonina,MT
Lucca Ferreira,237 .***.***- 19,,,"Esplanada de das Neves, 5",Andiroba,MG
Samuel Castro,582 .***.***- 70,,,"Praia Eloah da Mata, 95",Cachoeirinha,AL
Enzo Gabriel Mendes, .***.***- ,,,"Recanto de Santos, 155",Jardim Alvorada,PA
Maria Vitória Teixeira,426 .***.***- 25,,,"Praia Carvalho, 7",Vila Nova,PA
Maria Fernanda Farias,907 .***.***- 20,,,"Área de Correia, 44",Chácara Leonina,AM
Fernanda Sales,879 .***.***- 32,,,"Vale Lorenzo Almeida, 80",Vila Mantiqueira,PE
